,Y,Pais,edad,genero,Antiguedad,nombre_estado,Tiene_creditos,Creditos,saldo_actual,saldo_vencido,mop_historico,numero_pagos_vencidos,Promedio de limite_credito,Promedio de credito_maximo,Promedio de cantidad_cuotas,Promedio de valor_cuota,ahorro_impacto,bienestar_financiero_impacto,coaching_impacto,gestion_de_gastos_impacto,score,perfil_usuario,sistema_operativo,Desinstalaciones,Tiene_ahorro,monto_ahorro,monto_bloqueado,monto_total,Tiene_seguros,Seguros,Activo_saldo_actual,Activo_saldo_vencido,%_Activo,Activos_pagos_vencidos,Activos_garantia,Autos_saldo_actual,Autos_saldo_vencido,%_Autos,Autos_pagos_vencidos,Autos_garantia,Comunicaciones_saldo_actual,Comunicaciones_saldo_vencido,%_comunicaciones,Comunicaciones_pagos_vencidos,Comunicaciones_garantia,Consumo_saldo_actual,Consumo_saldo_vencido,%_consumo,consumo_pagos_vencidos,consumo_garantia,Educacion_saldo_actual,Educacion_saldo_vencido,%_educuacion,Educacion_pagos_vencidos,Educacion_garantia,Libranza_saldo_actual,Libranza_saldo_vencido,%_libranza,Libranza_pagos_vencidos,Libranza_garantia,Microcredito_saldo_actual,Microcredito_saldo_vencido,%_microcredito,microcredito_pagos_vencidos,microcredito_garantia,Otros_saldo_actual,Otros_saldo_vencido,%_otro,Otros_pagos_vencidos,Otros_garantia,Tarjeta_credito_saldo_actual,Tarjeta_credito_saldo_vencido,%_tarjeta,Tarjeta_pagos_vencidos,Tarjeta_garantia,Vivienda_saldo_actual,Vivienda_saldo_vencido,%_vivienda,Vivienda_pagos_vencidos,Vivienda_garantia,Garantia
3220,0,CO,53.0,MASCULINO,Menos de 6 meses,,1,7,1699000.0,1699000.0,,1.0,,4500000.0,7.0,1540000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1699000.0,1699000.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0
3221,0,CO,34.0,FEMENINO,Menos de 6 meses,,1,3,5937000.0,5936000.0,6,,0.0,918667.0,1.0,1026667.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,5677000.0,5676000.0,0.956206838470608,,1.0,,,,,,,,,,,,,,,,260000.0,260000.0,0.0437931615293919,,1.0,,,,,,,,,,,2.0
3234,0,CO,21.0,FEMENINO,Menos de 6 meses,,1,3,393000.0,393000.0,N,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,393000.0,393000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3235,0,CO,21.0,MASCULINO,Menos de 6 meses,,1,3,2624000.0,354000.0,N,7.0,,815333.0,11.33,14667.0,0.0,0.0,0.0,0.0,561.0,Medio,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,75000.0,0.0,0.0285823170731707,0.0,1.0,,,,,,,,,,,,,,,,2549000.0,354000.0,0.971417682926829,7.0,1.0,,,,,,,,,,,,,,,,2.0
3254,0,CO,21.0,MASCULINO,Menos de 6 meses,,1,3,263000.0,183000.0,N,0.0,,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,457.0,Sin registro,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,263000.0,183000.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3255,0,CO,25.0,FEMENINO,Menos de 6 meses,,1,28,11092000.0,6394000.0,N,,0.0,552321.0,8.91,237143.0,0.0,0.0,0.0,0.0,349.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,11092000.0,6394000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,2.0
3257,0,CO,27.0,MASCULINO,Menos de 6 meses,,1,8,1364000.0,259000.0,N,,87500.0,861750.0,7.25,80125.0,0.0,0.0,0.0,0.0,444.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,616000.0,259000.0,0.451612903225806,,1.0,,,,,,,,,,,,,,,,,,,,,748000.0,0.0,0.548387096774193,,,,,,,,2.0
3258,0,CO,44.0,MASCULINO,Menos de 6 meses,,1,1,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,730.0,Medio,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,1.0,,,,,,,,,,,1.0
3260,0,CO,25.0,FEMENINO,Menos de 6 meses,,1,5,624000.0,423000.0,N,,0.0,0.0,4.8,133600.0,0.0,0.0,0.0,0.0,318.0,Bajo,,,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624000.0,423000.0,1.0,,1.0,,,,,,,,,,,2.0
3272,0,CO,24.0,MASCULINO,Menos de 6 meses,,1,2,549000.0,1082000.0,N,,0.0,250000.0,2.0,250000.0,0.0,0.0,0.0,0.0,437.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,49000.0,0.0,0.0892531876138433,,1.0,,,,,,,,,,,,,,,,500000.0,1082000.0,0.910746812386156,,1.0,,,,,,,,,,,,,,,,2.0
3273,0,CO,27.0,FEMENINO,Menos de 6 meses,,1,3,255000.0,255000.0,N,,0.0,41000.0,1.0,41000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,132000.0,132000.0,0.517647058823529,,1.0,123000.0,123000.0,0.48235294117647,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3275,0,CO,37.0,MASCULINO,Menos de 6 meses,,1,7,64000.0,64000.0,N,,0.0,0.0,,3143.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,64000.0,64000.0,1.0,,1.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3276,0,CO,29.0,MASCULINO,Menos de 6 meses,,1,15,11136000.0,17778000.0,N,,22000.0,905267.0,7.13,1095667.0,0.0,0.0,0.0,0.0,316.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,175000.0,45000.0,0.0157147988505747,,1.0,10188000.0,16960000.0,0.914870689655172,,1.0,,,,,,,,,,,,,,,,,,,,,773000.0,773000.0,0.0694145114942528,,,,,,,,2.0
3286,0,CO,24.0,MASCULINO,Menos de 6 meses,Antioquia,1,4,1227000.0,1462000.0,6,1006.0,,-1.0,15.5,255500.0,0.0,0.0,0.0,0.0,280.0,Bajo,ANDROID,1.0,1,30000.0,,,0,0,,,,,,,,,,,112000.0,112000.0,0.0912795436022819,0.0,1.0,1115000.0,1350000.0,0.908720456397718,1006.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3287,0,CO,31.0,MASCULINO,Menos de 6 meses,,1,4,419000.0,382000.0,N,,0.0,0.0,9.0,11750.0,0.0,0.0,0.0,0.0,320.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,382000.0,382000.0,0.911694510739856,,1.0,,,,,,37000.0,0.0,0.0883054892601432,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3290,0,CO,23.0,FEMENINO,Menos de 6 meses,,1,5,304000.0,303000.0,N,,0.0,0.0,1.0,51600.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,37000.0,36000.0,0.121710526315789,,1.0,,,,,,,,,,,,,,,,,,,,,267000.0,267000.0,0.87828947368421,,1.0,,,,,,,,,,,2.0
3295,0,CO,20.0,MASCULINO,Menos de 6 meses,,1,1,216000.0,216000.0,6,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,216000.0,216000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3298,0,CO,35.0,MASCULINO,Menos de 6 meses,,1,2,938000.0,938000.0,N,,0.0,514500.0,10.0,66500.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,938000.0,938000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3303,0,CO,26.0,MASCULINO,Menos de 6 meses,,1,2,722000.0,722000.0,N,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,2.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,722000.0,722000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3308,0,CO,33.0,FEMENINO,de 6 meses a 1 año,,1,5,1965000.0,1472000.0,N,2.0,,230400.0,2.0,402000.0,0.0,0.0,0.0,0.0,301.0,Bajo,ANDROID,2.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,1672000.0,1472000.0,0.85089058524173,2.0,1.0,,,,,,,,,,,,,,,,293000.0,0.0,0.149109414758269,0.0,1.0,,,,,,,,,,,2.0
3309,0,CO,30.0,MASCULINO,Menos de 6 meses,,1,7,870000.0,75000.0,N,34.0,,236285.0,1.43,37428.0,0.0,0.0,0.0,0.0,765.0,Alto,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,75000.0,75000.0,0.0862068965517241,34.0,1.0,795000.0,0.0,0.913793103448275,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3310,0,CO,27.0,MASCULINO,Menos de 6 meses,,1,14,2693000.0,1621000.0,N,,357143.0,240643.0,9.83,128643.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,38000.0,0.0,0.0141106572595618,,1.0,137000.0,137000.0,0.0508726327515781,,1.0,,,,,,,,,,,,,,,,,,,,,2518000.0,1484000.0,0.93501670998886,,,,,,,,2.0
3311,0,CO,46.0,FEMENINO,de 6 meses a 1 año,,1,13,1073999.0,-1.0,N,0.0,,7307.0,7.0,7308.0,0.0,0.0,0.0,0.0,819.0,Alto,,,0,0.0,0.0,0.0,0,0,969999.0,-1.0,0.903165645405628,0.0,1.0,,,,,,104000.0,0.0,0.0968343545943711,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3315,0,CO,57.0,MASCULINO,Menos de 6 meses,,1,3,165000.0,165000.0,,0.0,,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,165000.0,165000.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3317,0,CO,31.0,FEMENINO,Menos de 6 meses,,1,2,1274000.0,1298000.0,,1.0,-1.0,632000.0,1.0,738000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,456000.0,278000.0,0.357927786499215,1.0,1.0,,,,,,,,,,,,,,,,,,,,,818000.0,1020000.0,0.642072213500784,0.0,1.0,,,,,,2.0
3318,0,CO,20.0,MASCULINO,de 6 meses a 1 año,"Bogotá, d.c.",1,5,571000.0,556000.0,N,60.0,,59999.0,2.6,55600.0,1.0,0.0,0.0,0.0,225.0,Bajo,ANDROID,1.0,1,50000.0,,,0,0,,,,,,,,,,,295000.0,278000.0,0.516637478108581,0.0,1.0,276000.0,278000.0,0.483362521891418,60.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3319,0,CO,31.0,MASCULINO,Menos de 6 meses,,1,10,1496000.0,107000.0,N,,0.0,670800.0,3.86,91300.0,0.0,0.0,0.0,0.0,342.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,107000.0,107000.0,0.0715240641711229,,1.0,1389000.0,0.0,0.928475935828877,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3321,0,CO,23.0,MASCULINO,de 6 meses a 1 año,Sucre,1,5,4699000.0,0.0,N,,0.0,1067600.0,11.6,55000.0,0.0,0.0,0.0,0.0,714.0,Medio,ANDROID,2.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,558000.0,0.0,0.118748669929772,,1.0,4141000.0,0.0,0.881251330070227,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3323,0,CO,29.0,MASCULINO,Menos de 6 meses,,1,3,2758000.0,2758000.0,6,1.0,,287333.0,19.33,28666.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,465000.0,465000.0,0.168600435097897,0.0,1.0,2293000.0,2293000.0,0.831399564902103,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3334,0,CO,23.0,MASCULINO,Menos de 6 meses,,1,4,64999.0,64999.0,N,3.0,,81250.0,8.0,10750.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,64999.0,64999.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3341,0,CO,58.0,FEMENINO,Menos de 6 meses,,1,3,898000.0,428000.0,N,,0.0,201000.0,8.0,49000.0,0.0,0.0,0.0,0.0,385.0,Bajo,,,1,50000.0,,,0,0,,,,,,,,,,,428000.0,428000.0,0.476614699331848,,1.0,470000.0,0.0,0.523385300668151,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3359,0,CO,,MASCULINO,Menos de 6 meses,,1,10,931000.0,931000.0,N,,0.0,79100.0,3.0,86600.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,140000.0,140000.0,0.150375939849624,,1.0,791000.0,791000.0,0.849624060150376,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3362,0,CO,31.0,MASCULINO,Menos de 6 meses,,1,8,845000.0,196000.0,N,,0.0,116375.0,4.5,32375.0,0.0,0.0,0.0,0.0,450.0,Sin registro,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,845000.0,196000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3368,0,CO,34.0,FEMENINO,Menos de 6 meses,,1,5,1860000.0,1761000.0,N,1.0,,233000.0,1.0,224333.0,0.0,0.0,0.0,0.0,182.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,279000.0,279000.0,0.15,0.0,1.0,1581000.0,1482000.0,0.85,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3388,0,CO,23.0,FEMENINO,Menos de 6 meses,,1,1,269000.0,269000.0,6,1.0,,-1.0,1.0,269000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000.0,269000.0,1.0,1.0,1.0,,,,,,,,,,,1.0
3391,0,CO,33.0,MASCULINO,Menos de 6 meses,,1,4,388000.0,746000.0,N,,0.0,117000.0,0.67,186500.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,388000.0,746000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3392,0,CO,31.0,MASCULINO,de 6 meses a 1 año,,1,7,450000.0,0.0,N,0.0,,15833.0,6.5,19167.0,0.0,0.0,0.0,0.0,788.0,Alto,ANDROID,1.0,0,0.0,0.0,0.0,0,0,409000.0,0.0,0.908888888888888,0.0,1.0,,,,,,41000.0,0.0,0.0911111111111111,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3394,0,CO,42.0,MASCULINO,Menos de 6 meses,,1,28,9125000.0,9353000.0,N,99.0,,3136636.0,12.91,630000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,1.0,,,,,,,,,,,9125000.0,9353000.0,1.0,99.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3411,0,CO,39.0,MASCULINO,Menos de 6 meses,,1,4,512000.0,581000.0,N,,0.0,592000.0,5.67,93250.0,0.0,0.0,0.0,0.0,399.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,512000.0,581000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3422,0,CO,28.0,MASCULINO,Menos de 6 meses,,1,6,406000.0,406000.0,N,,0.0,168167.0,3.5,41833.0,0.0,0.0,0.0,0.0,219.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,177000.0,177000.0,0.435960591133004,,1.0,229000.0,229000.0,0.564039408866995,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3432,0,CO,32.0,MASCULINO,Menos de 6 meses,,1,9,664000.0,532000.0,N,,0.0,399556.0,4.8,54444.0,1.0,0.0,0.0,0.0,372.0,Bajo,,,1,30000.0,,,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,664000.0,532000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3440,0,CO,20.0,MASCULINO,Menos de 6 meses,,1,7,1263000.0,0.0,N,0.0,,290143.0,3.14,19571.0,0.0,0.0,0.0,0.0,661.0,Medio,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1263000.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3441,0,CO,43.0,FEMENINO,Menos de 6 meses,,1,4,739000.0,530000.0,N,2.0,,-1.0,1.0,271000.0,0.0,0.0,0.0,0.0,209.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739000.0,530000.0,1.0,2.0,1.0,,,,,,,,,,,1.0
3460,0,CO,36.0,MASCULINO,Menos de 6 meses,,1,16,1108000.0,110000.0,N,,50313.0,36438.0,6.5,24438.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,110000.0,110000.0,0.0992779783393501,,1.0,180000.0,0.0,0.162454873646209,,1.0,,,,,,,,,,,,,,,,,,,,,818000.0,0.0,0.73826714801444,,,,,,,,2.0
3475,0,CO,26.0,MASCULINO,Menos de 6 meses,,1,6,808999.0,808999.0,N,0.0,1300000.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,283.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,808999.0,808999.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,2.0
3477,0,CO,31.0,MASCULINO,Menos de 6 meses,,1,5,3138000.0,3138000.0,6,,0.0,562600.0,21.25,19600.0,0.0,0.0,0.0,0.0,387.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,3138000.0,3138000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3481,0,CO,24.0,FEMENINO,Menos de 6 meses,,1,3,809999.0,-1.0,N,0.0,,333333.0,3.0,0.0,0.0,0.0,0.0,0.0,741.0,Medio,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,809999.0,-1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3490,0,CO,24.0,FEMENINO,Menos de 6 meses,,1,6,3425000.0,0.0,N,,316667.0,380333.0,5.33,74500.0,0.0,0.0,0.0,0.0,693.0,Medio,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,1830000.0,0.0,0.534306569343065,,1.0,,,,,,,,,,,,,,,,,,,,,1595000.0,0.0,0.465693430656934,,,,,,,,2.0
3491,0,CO,31.0,FEMENINO,Menos de 6 meses,,1,3,1962000.0,4429000.0,6,17.0,,934000.0,11.33,237667.0,0.0,0.0,0.0,0.0,236.0,Bajo,,,0,0.0,0.0,0.0,0,0,637000.0,637000.0,0.32466870540265,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1325000.0,3792000.0,0.675331294597349,6.0,1.0,,,,,,,,,,,,,,,,2.0
3501,0,CO,25.0,MASCULINO,Menos de 6 meses,,1,4,24300000.0,23984000.0,N,,75000.0,3850250.0,84.0,6059750.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,61000.0,61000.0,0.00251028806584362,,1.0,21874000.0,21558000.0,0.900164609053497,,1.0,,,,,,,,,,,,,,,,,,,,,2365000.0,2365000.0,0.0973251028806584,,,,,,,,2.0
3510,0,CO,22.0,MASCULINO,Menos de 6 meses,,1,7,2243000.0,256000.0,N,,100000.0,0.0,10.0,55286.0,0.0,0.0,0.0,0.0,485.0,Sin registro,,,0,0.0,0.0,0.0,0,0,1855000.0,0.0,0.827017387427552,,1.0,,,,,,80000.0,0.0,0.0356665180561747,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,308000.0,256000.0,0.137316094516272,,,,,,,,2.0
3511,0,CO,20.0,MASCULINO,Menos de 6 meses,,1,2,464000.0,464000.0,N,,0.0,232000.0,3.0,240000.0,0.0,0.0,0.0,0.0,7.0,Joven,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,464000.0,464000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3522,0,CO,29.0,MASCULINO,Menos de 6 meses,,1,4,75000.0,75000.0,N,,0.0,0.0,9.0,57000.0,0.0,0.0,0.0,0.0,416.0,Bajo,,,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,1.0,,,,,,75000.0,75000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3523,0,CO,23.0,MASCULINO,de 6 meses a 1 año,,1,13,3733000.0,716000.0,N,,0.0,413462.0,3.23,71846.0,0.0,0.0,0.0,0.0,369.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,3733000.0,716000.0,1.0,,1.0,,,,,,,,,,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,2.0
3529,0,CO,20.0,MASCULINO,Menos de 6 meses,,1,6,604000.0,604000.0,6,,0.0,13833.0,1.0,83000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,189000.0,189000.0,0.312913907284768,,1.0,,,,,,,,,,,,,,,,,,,,,415000.0,415000.0,0.687086092715231,,1.0,,,,,,,,,,,2.0
3535,0,CO,42.0,MASCULINO,Menos de 6 meses,,1,2,75000.0,75000.0,N,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,345.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,75000.0,75000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3536,0,CO,31.0,MASCULINO,Menos de 6 meses,,1,7,2409000.0,460000.0,N,,115000.0,18571.0,16.0,93857.0,0.0,0.0,0.0,0.0,443.0,Bajo,,,0,0.0,0.0,0.0,0,0,1198000.0,0.0,0.497301784973017,,1.0,,,,,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1211000.0,460000.0,0.502698215026982,,,,,,,,2.0
3548,0,CO,45.0,MASCULINO,Menos de 6 meses,,1,1,970000.0,789000.0,6,,0.0,970000.0,1.0,970000.0,0.0,0.0,0.0,0.0,416.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,970000.0,789000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3549,0,CO,26.0,FEMENINO,Menos de 6 meses,,1,2,298000.0,298000.0,6,,0.0,54000.0,1.0,149000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,108000.0,108000.0,0.36241610738255,,1.0,,,,,,,,,,,,,,,,190000.0,190000.0,0.637583892617449,,1.0,,,,,,,,,,,2.0
3559,0,CO,26.0,MASCULINO,Menos de 6 meses,Antioquia,1,1,207000.0,207000.0,,0.0,,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,207000.0,207000.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3562,0,CO,28.0,FEMENINO,Menos de 6 meses,,1,2,100000.0,100000.0,N,,0.0,0.0,1.0,50000.0,0.0,0.0,0.0,0.0,283.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,100000.0,100000.0,1.0,,1.0,,,,,,,,,,,2.0
3568,0,CO,27.0,MASCULINO,Menos de 6 meses,ATLÁNTICO,1,6,6818000.0,0.0,N,,0.0,1864000.0,31.5,79667.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,6818000.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3570,0,CO,36.0,MASCULINO,de 6 meses a 1 año,,1,6,845000.0,224000.0,N,132.0,,122199.0,0.8,17000.0,0.0,0.0,0.0,0.0,219.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,252000.0,224000.0,0.298224852071005,132.0,1.0,593000.0,0.0,0.701775147928994,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3582,0,CO,26.0,MASCULINO,Menos de 6 meses,,1,2,78000.0,78000.0,3,0.0,,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,319.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,78000.0,78000.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3590,0,CO,,DESCONOCIDO,mas de 1 año,,1,11,2285000.0,1259000.0,N,,0.0,994818.0,10.4,69182.0,0.0,0.0,0.0,0.0,201.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,308000.0,308000.0,0.134792122538293,,1.0,1977000.0,951000.0,0.865207877461706,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
